word,spam,ham
nice,0.000000,62.000000
went,0.000000,62.000000
help,26.000000,36.000000
feel,0.000000,62.000000
box,57.000000,5.000000
soon,3.000000,58.000000
can,1.000000,60.000000
place,5.000000,55.000000
service,56.000000,4.000000
money,4.000000,56.000000
tone,60.000000,0.000000
tonight,2.000000,57.000000
mins,47.000000,12.000000
chat,45.000000,14.000000
that,0.000000,59.000000
late,1.000000,58.000000
customer,49.000000,9.000000
gonna,0.000000,58.000000
wan,4.000000,53.000000
leave,2.000000,55.000000
sleep,0.000000,56.000000
friends,5.000000,50.000000
gud,0.000000,55.000000
dun,0.000000,55.000000
,1.000000,54.000000
things,2.000000,52.000000
told,0.000000,54.000000
wish,2.000000,51.000000
waiting,17.000000,36.000000
hello,4.000000,49.000000
sms,30.000000,22.000000
fine,0.000000,52.000000
friend,11.000000,41.000000
coming,0.000000,51.000000
haha,0.000000,51.000000
special,19.000000,32.000000
guaranteed,50.000000,0.000000
people,3.000000,47.000000
year,6.000000,44.000000
thk,0.000000,50.000000
getting,4.000000,46.000000
try,7.000000,42.000000
heart,3.000000,46.000000
best,9.000000,40.000000
days,16.000000,33.000000
use,9.000000,40.000000
ppm,49.000000,0.000000
didn,0.000000,48.000000
holiday,32.000000,15.000000
thought,1.000000,46.000000
stuff,1.000000,45.000000
live,29.000000,17.000000
man,2.000000,44.000000
god,1.000000,45.000000
lunch,0.000000,46.000000
talk,5.000000,40.000000
class,2.000000,43.000000
smile,0.000000,45.000000
draw,39.000000,5.000000
thats,0.000000,43.000000
line,35.000000,8.000000
house,1.000000,42.000000
meeting,0.000000,43.000000
yup,0.000000,43.000000
job,0.000000,43.000000
person,1.000000,42.000000
better,1.000000,42.000000
bit,0.000000,43.000000
ready,6.000000,36.000000
trying,15.000000,27.000000
finish,0.000000,42.000000
long,0.000000,42.000000
cool,2.000000,40.000000
ill,1.000000,41.000000
pobox,42.000000,0.000000
end,15.000000,27.000000
having,0.000000,42.000000
car,0.000000,41.000000
mind,2.000000,39.000000
cost,31.000000,10.000000
account,19.000000,21.000000
dat,0.000000,40.000000
enjoy,11.000000,29.000000
half,13.000000,27.000000
check,4.000000,35.000000
month,8.000000,31.000000
play,18.000000,21.000000
latest,36.000000,3.000000
chance,27.000000,12.000000
sir,1.000000,38.000000
camera,35.000000,3.000000
receive,33.000000,5.000000
problem,0.000000,38.000000
world,1.000000,37.000000
wanna,10.000000,28.000000
lot,0.000000,38.000000
lar,0.000000,38.000000
word,25.000000,13.000000
awarded,38.000000,0.000000
guess,7.000000,31.000000
eat,0.000000,38.000000
shit,1.000000,36.000000
big,2.000000,35.000000
liao,0.000000,37.000000
real,13.000000,24.000000
start,7.000000,29.000000
dinner,0.000000,36.000000
girl,5.000000,31.000000
shows,31.000000,5.000000
birthday,1.000000,35.000000
guys,6.000000,30.000000
sweet,0.000000,35.000000
luv,5.000000,30.000000
hrs,25.000000,10.000000
quite,0.000000,35.000000
jus,0.000000,35.000000
watching,0.000000,34.000000
xxx,12.000000,22.000000
offer,27.000000,7.000000
landline,32.000000,2.000000
video,32.000000,2.000000
room,0.000000,34.000000
aight,0.000000,33.000000
calls,18.000000,15.000000
early,0.000000,33.000000
watch,0.000000,33.000000
thanx,0.000000,33.000000
weekend,9.000000,24.000000
probably,0.000000,33.000000
speak,10.000000,23.000000
called,1.000000,32.000000
remember,0.000000,32.000000
boy,0.000000,32.000000
maybe,2.000000,30.000000
minutes,5.000000,27.000000
hear,3.000000,29.000000
actually,0.000000,32.000000
fun,9.000000,23.000000
apply,30.000000,2.000000
ringtone,32.000000,0.000000
shall,0.000000,32.000000
sat,2.000000,30.000000
den,0.000000,32.000000
forgot,0.000000,32.000000
plan,0.000000,32.000000
nite,4.000000,28.000000
princess,0.000000,32.000000
does,3.000000,29.000000
bed,0.000000,32.000000
bad,1.000000,31.000000
wont,0.000000,32.000000
there,4.000000,27.000000
dunno,0.000000,31.000000
shopping,8.000000,23.000000
office,1.000000,30.000000
left,1.000000,30.000000
reach,5.000000,26.000000
code,30.000000,1.000000
pay,1.000000,30.000000
look,3.000000,28.000000
rate,29.000000,2.000000
kiss,0.000000,31.000000
how,0.000000,31.000000
easy,12.000000,18.000000
leh,0.000000,30.000000
orange,26.000000,4.000000
bus,0.000000,30.000000
dis,2.000000,28.000000
tones,30.000000,0.000000
didnt,0.000000,30.000000
baby,2.000000,28.000000
face,0.000000,30.000000
hour,0.000000,30.000000
award,29.000000,1.000000
working,0.000000,29.000000
true,6.000000,23.000000
little,3.000000,26.000000
thank,1.000000,28.000000
wife,1.000000,28.000000
age,24.000000,5.000000
selected,25.000000,4.000000
network,25.000000,4.000000
dad,0.000000,29.000000
looking,9.000000,20.000000
fuck,0.000000,28.000000
entry,28.000000,0.000000
missing,1.000000,27.000000
town,3.000000,25.000000
afternoon,0.000000,28.000000
evening,1.000000,27.000000
gift,21.000000,7.000000
years,7.000000,21.000000
collect,23.000000,5.000000
asked,6.000000,22.000000
texts,19.000000,9.000000
tmr,0.000000,28.000000
join,16.000000,11.000000
okay,0.000000,27.000000
times,0.000000,27.000000
school,0.000000,27.000000
sexy,15.000000,12.000000
xmas,15.000000,12.000000
details,8.000000,19.000000
mail,0.000000,27.000000
valid,27.000000,0.000000
wif,0.000000,27.000000
came,1.000000,26.000000
says,0.000000,27.000000
able,0.000000,26.000000
wake,0.000000,26.000000
guy,0.000000,26.000000
pain,0.000000,26.000000
means,0.000000,26.000000
wot,1.000000,25.000000
hav,0.000000,26.000000
til,0.000000,26.000000
collection,26.000000,0.000000
abt,0.000000,26.000000
goes,0.000000,26.000000
price,18.000000,8.000000
important,12.000000,14.000000
bring,0.000000,26.000000
wanted,0.000000,26.000000
missed,2.000000,24.000000
plz,0.000000,25.000000
messages,13.000000,12.000000
plus,7.000000,18.000000
decimal,0.000000,25.000000
juz,0.000000,25.000000
mob,25.000000,0.000000
away,4.000000,21.000000
haven,1.000000,24.000000
alright,0.000000,24.000000
till,3.000000,21.000000
yesterday,3.000000,21.000000
worry,0.000000,24.000000
saw,0.000000,24.000000
wen,0.000000,24.000000
hair,0.000000,24.000000
weekly,24.000000,0.000000
attempt,22.000000,2.000000
update,19.000000,5.000000
havent,0.000000,24.000000
food,0.000000,23.000000
she,0.000000,23.000000
online,0.000000,23.000000
net,15.000000,8.000000
stay,3.000000,20.000000
words,0.000000,23.000000
lei,0.000000,23.000000
double,17.000000,6.000000
oso,0.000000,23.000000
run,0.000000,23.000000
making,0.000000,23.000000
haf,0.000000,23.000000
music,20.000000,3.000000
shop,8.000000,15.000000
makes,0.000000,23.000000
book,6.000000,17.000000
optout,23.000000,0.000000
goin,0.000000,23.000000
dude,0.000000,23.000000
colour,19.000000,4.000000
bored,4.000000,19.000000
change,0.000000,22.000000
hurt,0.000000,22.000000
club,21.000000,1.000000
answer,8.000000,14.000000
friendship,0.000000,22.000000
coz,0.000000,22.000000
feeling,2.000000,20.000000
test,0.000000,22.000000
what,0.000000,22.000000
question,7.000000,15.000000
hot,15.000000,7.000000
ard,0.000000,22.000000
address,4.000000,18.000000
driving,2.000000,20.000000
hours,6.000000,16.000000
family,0.000000,22.000000
sch,0.000000,22.000000
delivery,21.000000,1.000000
lose,1.000000,20.000000
sad,0.000000,21.000000
national,21.000000,0.000000
http,21.000000,0.000000
bonus,21.000000,0.000000
tot,0.000000,21.000000
todays,17.000000,4.000000
tried,16.000000,5.000000
sae,21.000000,0.000000
busy,2.000000,19.000000
game,9.000000,12.000000
movie,2.000000,19.000000
vouchers,21.000000,0.000000
wid,5.000000,16.000000
trip,4.000000,17.000000
order,14.000000,7.000000
comes,3.000000,18.000000
calling,6.000000,15.000000
date,10.000000,11.000000
believe,2.000000,19.000000
beautiful,0.000000,21.000000
wants,1.000000,20.000000
sleeping,0.000000,20.000000
old,2.000000,18.000000
happen,0.000000,20.000000
huh,0.000000,20.000000
story,0.000000,20.000000
chikku,0.000000,20.000000
ring,4.000000,16.000000
dreams,0.000000,20.000000
poly,20.000000,0.000000
set,1.000000,19.000000
games,19.000000,1.000000
smiling,0.000000,20.000000
eve,5.000000,15.000000
charge,10.000000,10.000000
points,16.000000,4.000000
noe,0.000000,20.000000
drive,0.000000,20.000000
saying,0.000000,20.000000
leaving,0.000000,20.000000
info,18.000000,2.000000
brother,1.000000,19.000000
await,19.000000,1.000000
mean,0.000000,20.000000
aft,0.000000,19.000000
walk,1.000000,18.000000
head,0.000000,19.000000
suite,17.000000,2.000000
mths,18.000000,1.000000
simple,1.000000,18.000000
thinking,0.000000,19.000000
private,18.000000,1.000000
news,10.000000,9.000000
finished,0.000000,19.000000
post,4.000000,15.000000
pics,12.000000,7.000000
awesome,0.000000,19.000000
rite,0.000000,19.000000
okie,0.000000,19.000000
congrats,10.000000,9.000000
row,16.000000,3.000000
pounds,17.000000,2.000000
doesn,0.000000,19.000000
tomo,0.000000,19.000000
mum,0.000000,19.000000
took,0.000000,19.000000
pic,14.000000,5.000000
email,2.000000,17.000000
started,1.000000,18.000000
taking,1.000000,17.000000
unsubscribe,18.000000,0.000000
drop,2.000000,16.000000
cause,0.000000,18.000000
auction,16.000000,2.000000
wil,0.000000,18.000000
final,16.000000,2.000000
forget,2.000000,16.000000
lets,1.000000,17.000000
services,17.000000,1.000000
minute,6.000000,12.000000
drink,0.000000,18.000000
available,3.000000,15.000000
close,4.000000,14.000000
msgs,9.000000,9.000000
angry,0.000000,18.000000
land,18.000000,0.000000
tho,0.000000,18.000000
neva,0.000000,18.000000
second,0.000000,18.000000
pub,2.000000,16.000000
touch,1.000000,16.000000
choose,10.000000,7.000000
card,4.000000,13.000000
expires,17.000000,0.000000
company,2.000000,15.000000
search,2.000000,15.000000
smoke,0.000000,17.000000
knw,0.000000,17.000000
break,4.000000,13.000000
open,1.000000,16.000000
loving,0.000000,17.000000
whats,1.000000,16.000000
statement,16.000000,1.000000
carlos,0.000000,17.000000
opt,17.000000,0.000000
dating,17.000000,0.000000
lucky,8.000000,9.000000
sun,1.000000,16.000000
parents,0.000000,17.000000
sounds,1.000000,16.000000
sister,0.000000,17.000000
worth,13.000000,4.000000
sis,0.000000,17.000000
voucher,16.000000,1.000000
lots,2.000000,15.000000
lesson,0.000000,17.000000
prob,0.000000,16.000000
college,0.000000,16.000000
type,0.000000,16.000000
saturday,7.000000,9.000000
winner,16.000000,0.000000
gone,0.000000,16.000000
girls,5.000000,11.000000
anytime,12.000000,4.000000
kind,0.000000,16.000000
mom,0.000000,16.000000
frnd,6.000000,10.000000
hard,3.000000,13.000000
needs,1.000000,15.000000
identifier,16.000000,0.000000
smth,0.000000,16.000000
lands,15.000000,1.000000
takes,4.000000,12.000000
visit,7.000000,9.000000
far,0.000000,16.000000
happened,0.000000,16.000000
boytoy,0.000000,16.000000
gbp,16.000000,0.000000
decided,0.000000,16.000000
mobileupd,16.000000,0.000000
fast,1.000000,15.000000
secret,10.000000,5.000000
party,0.000000,15.000000
wonderful,0.000000,15.000000
hand,0.000000,15.000000
player,12.000000,3.000000
used,1.000000,14.000000
hit,4.000000,11.000000
tel,1.000000,14.000000
nope,0.000000,15.000000
fri,2.000000,13.000000
fucking,0.000000,15.000000
crazy,5.000000,10.000000
content,14.000000,1.000000
wrong,0.000000,15.000000
oredi,0.000000,15.000000
sea,0.000000,15.000000
pretty,0.000000,15.000000
treat,0.000000,15.000000
weeks,9.000000,6.000000
goodmorning,0.000000,15.000000
friday,0.000000,15.000000
finally,1.000000,14.000000
darlin,0.000000,15.000000
operator,15.000000,0.000000
wit,0.000000,15.000000
light,0.000000,15.000000
read,1.000000,14.000000
mates,13.000000,2.000000
congratulations,14.000000,1.000000
chennai,0.000000,15.000000
lovely,0.000000,15.000000
hows,0.000000,15.000000
camcorder,15.000000,0.000000
quiz,15.000000,0.000000
bout,1.000000,14.000000
outside,0.000000,15.000000
isn,0.000000,14.000000
credit,9.000000,5.000000
jay,0.000000,14.000000
thinks,10.000000,4.000000
frm,0.000000,14.000000
wkly,14.000000,0.000000
snow,0.000000,14.000000
fone,5.000000,9.000000
freemsg,14.000000,0.000000
project,0.000000,14.000000
log,7.000000,7.000000
mrng,0.000000,14.000000
unlimited,10.000000,4.000000
mate,0.000000,14.000000
course,0.000000,14.000000
fancy,9.000000,5.000000
telling,0.000000,14.000000
hungry,2.000000,12.000000
reason,0.000000,14.000000
welcome,10.000000,4.000000
earlier,0.000000,14.000000
hmm,0.000000,14.000000
listen,2.000000,12.000000
offers,13.000000,1.000000
savamob,14.000000,0.000000
cum,5.000000,9.000000
bank,2.000000,12.000000
meant,0.000000,14.000000
wasn,0.000000,14.000000
frnds,0.000000,14.000000
blue,1.000000,13.000000
sunday,0.000000,14.000000
case,0.000000,14.000000
seeing,0.000000,14.000000
hold,0.000000,14.000000
caller,12.000000,1.000000
park,1.000000,12.000000
currently,10.000000,3.000000
sex,11.000000,2.000000
christmas,1.000000,12.000000
valued,11.000000,2.000000
months,5.000000,8.000000
dnt,0.000000,13.000000
mobiles,13.000000,0.000000
hee,0.000000,13.000000
india,1.000000,12.000000
march,0.000000,13.000000
tired,0.000000,13.000000
lost,2.000000,11.000000
cut,0.000000,13.000000
mah,0.000000,13.000000
numbers,9.000000,4.000000
balance,9.000000,4.000000
area,8.000000,5.000000
motorola,11.000000,2.000000
bslvyl,0.000000,13.000000
luck,6.000000,7.000000
felt,0.000000,13.000000
yrs,7.000000,6.000000
yar,0.000000,13.000000
invited,5.000000,8.000000
father,0.000000,13.000000
hmmm,0.000000,13.000000
point,0.000000,13.000000
john,0.000000,13.000000
reading,0.000000,13.000000
talking,0.000000,13.000000
die,0.000000,13.000000
mayb,0.000000,13.000000
txts,13.000000,0.000000
happiness,0.000000,13.000000
download,3.000000,10.000000
couple,1.000000,12.000000
stupid,0.000000,13.000000
support,2.000000,11.000000
phones,12.000000,1.000000
press,3.000000,10.000000
understand,0.000000,13.000000
ago,0.000000,13.000000
gas,0.000000,13.000000
enter,10.000000,3.000000
ass,0.000000,13.000000
knew,0.000000,12.000000
correct,4.000000,8.000000
supposed,0.000000,12.000000
charged,12.000000,0.000000
rental,12.000000,0.000000
askd,0.000000,12.000000
difficult,0.000000,12.000000
reveal,12.000000,0.000000
gym,0.000000,12.000000
grins,0.000000,12.000000
computer,5.000000,7.000000
ans,6.000000,6.000000
pass,5.000000,7.000000
heard,3.000000,9.000000
information,8.000000,4.000000
joy,0.000000,12.000000
questions,6.000000,6.000000
confirm,1.000000,11.000000
laptop,0.000000,12.000000
picking,0.000000,12.000000
sound,1.000000,11.000000
nyt,4.000000,8.000000
ipod,12.000000,0.000000
red,3.000000,9.000000
sending,2.000000,10.000000
song,3.000000,9.000000
uncle,0.000000,12.000000
redeemed,12.000000,0.000000
swing,0.000000,12.000000
seen,0.000000,12.000000
complimentary,12.000000,0.000000
max,11.000000,1.000000
met,1.000000,11.000000
gal,0.000000,12.000000
comp,10.000000,2.000000
ends,4.000000,8.000000
ugh,0.000000,12.000000
surprise,5.000000,7.000000
ish,0.000000,12.000000
gotta,0.000000,12.000000
direct,10.000000,2.000000
extra,7.000000,5.000000
wow,2.000000,10.000000
darren,0.000000,12.000000
semester,0.000000,12.000000
terms,9.000000,2.000000
monday,0.000000,11.000000
orchard,0.000000,11.000000
usf,0.000000,11.000000
crave,0.000000,11.000000
sort,1.000000,10.000000
wap,11.000000,0.000000
safe,0.000000,11.000000
clean,0.000000,11.000000
abiola,0.000000,11.000000
somebody,2.000000,9.000000
entered,6.000000,5.000000
slow,1.000000,10.000000
asap,6.000000,5.000000
match,6.000000,5.000000
reward,11.000000,0.000000
loved,0.000000,11.000000
plans,0.000000,11.000000
paper,0.000000,11.000000
txting,10.000000,1.000000
hmv,11.000000,0.000000
loads,1.000000,10.000000
wana,0.000000,11.000000
exam,0.000000,11.000000
muz,0.000000,11.000000
wonder,0.000000,11.000000
bcoz,0.000000,11.000000
shower,0.000000,11.000000
bath,0.000000,11.000000
lovable,0.000000,11.000000
truth,0.000000,11.000000
comin,0.000000,11.000000
small,0.000000,11.000000
checking,0.000000,11.000000
std,11.000000,0.000000
remove,4.000000,7.000000
asking,0.000000,11.000000
rply,5.000000,6.000000
feels,0.000000,11.000000
wine,0.000000,11.000000
rest,0.000000,11.000000
slowly,0.000000,11.000000
blood,0.000000,11.000000
store,8.000000,3.000000
dogging,11.000000,0.000000
police,1.000000,10.000000
kate,0.000000,11.000000
rock,1.000000,10.000000
discount,9.000000,2.000000
gets,0.000000,11.000000
nah,0.000000,10.000000
gave,0.000000,10.000000
england,9.000000,1.000000
warm,2.000000,8.000000
admirer,10.000000,0.000000
save,3.000000,7.000000
moment,0.000000,10.000000
representative,10.000000,0.000000
wishing,0.000000,10.000000
tonite,0.000000,10.000000
poor,0.000000,10.000000
spend,0.000000,10.000000
usual,0.000000,10.000000
cheap,4.000000,6.000000
woke,0.000000,10.000000
immediately,5.000000,5.000000
drugs,0.000000,10.000000
convey,0.000000,10.000000
dream,3.000000,7.000000
sony,8.000000,2.000000
study,0.000000,10.000000
pete,1.000000,9.000000
callertune,0.000000,10.000000
film,2.000000,8.000000
pray,0.000000,10.000000
glad,1.000000,9.000000
sell,0.000000,10.000000
doin,0.000000,10.000000
ldn,10.000000,0.000000
rates,9.000000,1.000000
link,6.000000,4.000000
sub,8.000000,2.000000
ntt,10.000000,0.000000
normal,2.000000,8.000000
fantastic,7.000000,3.000000
deep,0.000000,10.000000
oops,0.000000,10.000000
kids,0.000000,10.000000
bathe,0.000000,10.000000
write,0.000000,10.000000
worried,0.000000,10.000000
knows,1.000000,9.000000
tickets,3.000000,7.000000
different,0.000000,10.000000
merry,0.000000,10.000000
rakhesh,0.000000,10.000000
hoping,0.000000,10.000000
energy,3.000000,7.000000
leaves,0.000000,10.000000
booked,0.000000,10.000000
reached,0.000000,10.000000
del,9.000000,1.000000
figure,0.000000,10.000000
hospital,0.000000,10.000000
gettin,2.000000,8.000000
laugh,1.000000,9.000000
voice,0.000000,10.000000
custcare,10.000000,0.000000
yep,0.000000,10.000000
fact,1.000000,9.000000
water,0.000000,10.000000
user,8.000000,1.000000
brings,1.000000,8.000000
urself,0.000000,9.000000
children,3.000000,6.000000
meh,0.000000,9.000000
staying,0.000000,9.000000
situation,0.000000,9.000000
wondering,0.000000,9.000000
disturb,0.000000,9.000000
ending,8.000000,1.000000
doesnt,0.000000,9.000000
bluetooth,9.000000,0.000000
ive,0.000000,9.000000
rcvd,9.000000,0.000000
seriously,0.000000,9.000000
ones,2.000000,7.000000
sitting,0.000000,9.000000
studying,0.000000,9.000000
starting,4.000000,5.000000
street,2.000000,7.000000
credits,9.000000,0.000000
valentine,1.000000,8.000000
men,2.000000,7.000000
copy,0.000000,9.000000
moral,0.000000,9.000000
summer,8.000000,1.000000
catch,0.000000,9.000000
valentines,2.000000,7.000000
lessons,0.000000,9.000000
rain,0.000000,9.000000
norm,8.000000,1.000000
mode,0.000000,9.000000
rent,0.000000,9.000000
noon,0.000000,9.000000
cup,5.000000,4.000000
trust,0.000000,9.000000
accept,0.000000,9.000000
especially,0.000000,9.000000
thinkin,0.000000,9.000000
unless,0.000000,9.000000
dead,0.000000,9.000000
colleagues,0.000000,9.000000
access,7.000000,2.000000
excellent,0.000000,9.000000
near,0.000000,9.000000
decide,0.000000,9.000000
lect,0.000000,9.000000
tampa,0.000000,9.000000
flag,9.000000,0.000000
sunshine,8.000000,1.000000
mrt,0.000000,9.000000
specially,9.000000,0.000000
bold,0.000000,9.000000
forever,0.000000,9.000000
starts,4.000000,5.000000
forwarded,4.000000,5.000000
charity,9.000000,0.000000
call,9.000000,0.000000
sofa,0.000000,9.000000
reaching,0.000000,9.000000
lazy,0.000000,9.000000
goodnight,0.000000,9.000000
eyes,0.000000,9.000000
digital,8.000000,1.000000
hiya,0.000000,9.000000
boss,0.000000,9.000000
ice,1.000000,8.000000
worries,0.000000,9.000000
weed,0.000000,9.000000
completely,1.000000,8.000000
lover,2.000000,7.000000
train,0.000000,9.000000
possible,0.000000,9.000000
doctor,0.000000,9.000000
mon,0.000000,9.000000
tht,0.000000,9.000000
loan,4.000000,5.000000
deal,0.000000,9.000000
silent,0.000000,9.000000
using,2.000000,7.000000
buying,0.000000,9.000000
sick,0.000000,9.000000
short,0.000000,9.000000
kinda,1.000000,8.000000
facebook,0.000000,8.000000
promise,0.000000,8.000000
omg,0.000000,8.000000
bak,0.000000,8.000000
gay,6.000000,2.000000
replying,6.000000,2.000000
mood,0.000000,8.000000
reference,4.000000,4.000000
bedroom,1.000000,7.000000
frens,0.000000,8.000000
lemme,0.000000,8.000000
tuesday,0.000000,8.000000
fixed,2.000000,6.000000
cake,0.000000,8.000000
umma,0.000000,8.000000
planning,0.000000,8.000000
cancel,5.000000,3.000000
workin,0.000000,8.000000
pizza,0.000000,8.000000
anymore,0.000000,8.000000
king,4.000000,4.000000
entitled,8.000000,0.000000
south,0.000000,8.000000
mistake,1.000000,7.000000
awaiting,8.000000,0.000000
self,2.000000,6.000000
power,0.000000,8.000000
loves,0.000000,8.000000
goto,6.000000,2.000000
aha,0.000000,8.000000
alex,0.000000,8.000000
black,1.000000,7.000000
wednesday,0.000000,8.000000
realy,0.000000,8.000000
rose,0.000000,8.000000
they,1.000000,7.000000
cute,1.000000,7.000000
future,4.000000,4.000000
weekends,5.000000,3.000000
sale,4.000000,4.000000
honey,0.000000,8.000000
cinema,3.000000,5.000000
training,0.000000,8.000000
slept,0.000000,8.000000
fault,0.000000,8.000000
longer,0.000000,8.000000
pound,6.000000,2.000000
picked,4.000000,4.000000
pix,4.000000,4.000000
kick,3.000000,5.000000
opinion,0.000000,8.000000
registered,4.000000,4.000000
where,0.000000,8.000000
ave,3.000000,5.000000
iam,0.000000,8.000000
dvd,7.000000,1.000000
paying,1.000000,7.000000
library,0.000000,8.000000
freephone,8.000000,0.000000
member,6.000000,2.000000
hurts,0.000000,8.000000
nigeria,0.000000,8.000000
style,0.000000,8.000000
road,0.000000,8.000000
movies,0.000000,8.000000
fingers,0.000000,8.000000
apartment,0.000000,8.000000
door,1.000000,7.000000
find,8.000000,0.000000
add,0.000000,8.000000
wishes,0.000000,8.000000
mark,0.000000,8.000000
interested,1.000000,7.000000
coffee,0.000000,8.000000
weight,0.000000,8.000000
sign,2.000000,6.000000
slave,0.000000,8.000000
funny,0.000000,8.000000
complete,1.000000,7.000000
giving,1.000000,7.000000
request,1.000000,7.000000
joined,2.000000,6.000000
din,0.000000,8.000000
euro,8.000000,0.000000
trouble,0.000000,8.000000
spent,0.000000,8.000000
wiv,2.000000,6.000000
matches,8.000000,0.000000
medical,0.000000,8.000000
quick,0.000000,8.000000
daddy,0.000000,8.000000
moon,3.000000,5.000000
cover,0.000000,8.000000
stand,0.000000,8.000000
round,1.000000,7.000000
single,1.000000,7.000000
idea,0.000000,8.000000
polys,8.000000,0.000000
yahoo,2.000000,6.000000
cheers,0.000000,8.000000
cold,0.000000,7.000000
omw,0.000000,7.000000
malaria,0.000000,7.000000
station,1.000000,6.000000
advance,0.000000,7.000000
sol,7.000000,0.000000
bugis,0.000000,7.000000
tscs,7.000000,0.000000
appreciate,0.000000,7.000000
sense,0.000000,7.000000
married,2.000000,5.000000
country,4.000000,3.000000
menu,1.000000,6.000000
present,0.000000,7.000000
hop,0.000000,7.000000
yoga,0.000000,7.000000
cell,0.000000,7.000000
buzz,0.000000,7.000000
tenerife,7.000000,0.000000
torch,0.000000,7.000000
sight,0.000000,7.000000
bother,0.000000,7.000000
holla,0.000000,7.000000
looks,0.000000,7.000000
imagine,0.000000,7.000000
learn,2.000000,5.000000
recently,2.000000,5.000000
following,5.000000,2.000000
return,1.000000,6.000000
tough,0.000000,7.000000
showing,0.000000,7.000000
changed,1.000000,6.000000
yest,0.000000,7.000000
running,1.000000,6.000000
internet,1.000000,6.000000
happens,0.000000,7.000000
ppmx,7.000000,0.000000
swt,0.000000,7.000000
unsub,7.000000,0.000000
persons,0.000000,7.000000
team,4.000000,3.000000
mother,0.000000,7.000000
nights,2.000000,5.000000
naughty,0.000000,7.000000
past,0.000000,7.000000
meaning,0.000000,7.000000
cal,1.000000,6.000000
midnight,1.000000,6.000000
worse,0.000000,7.000000
maximize,7.000000,0.000000
paid,1.000000,6.000000
cuz,0.000000,7.000000
liked,0.000000,7.000000
pleasure,0.000000,7.000000
lmao,0.000000,7.000000
tear,0.000000,7.000000
password,3.000000,4.000000
out,4.000000,3.000000
air,0.000000,7.000000
murderer,0.000000,7.000000
marriage,0.000000,7.000000
happening,0.000000,7.000000
list,0.000000,7.000000
shuhui,0.000000,7.000000
eating,0.000000,7.000000
shd,0.000000,7.000000
planned,0.000000,7.000000
who,0.000000,7.000000
naked,1.000000,6.000000
hell,0.000000,7.000000
dey,0.000000,7.000000
instead,0.000000,7.000000
mad,2.000000,5.000000
page,1.000000,6.000000
weather,0.000000,7.000000
january,1.000000,6.000000
costa,7.000000,0.000000
izzit,0.000000,7.000000
arrive,6.000000,1.000000
maid,0.000000,7.000000
holding,0.000000,7.000000
inside,0.000000,7.000000
high,3.000000,4.000000
lift,0.000000,7.000000
hurry,1.000000,6.000000
photo,3.000000,4.000000
ahead,0.000000,7.000000
bag,0.000000,7.000000
alrite,0.000000,7.000000
experience,0.000000,7.000000
nxt,0.000000,7.000000
feb,1.000000,6.000000
joke,0.000000,7.000000
excuse,0.000000,7.000000
vikky,0.000000,7.000000
awake,0.000000,7.000000
tea,0.000000,7.000000
tuition,0.000000,7.000000
flirt,4.000000,3.000000
croydon,7.000000,0.000000
murdered,0.000000,7.000000
sucks,0.000000,7.000000
loyalty,7.000000,0.000000
walking,0.000000,7.000000
share,0.000000,7.000000
yijue,0.000000,7.000000
